S.N.,Event Name,Category,Group,S.N.,Event Name,Category,Group
1,1500 Freestyle,Men,Senior,,,,
2,1500 Freestyle,Women,Senior,,,,
3,1500 Freestyle,Boys,I,,,,
4,1500 Freestyle,Girls,I,,,,
5,1500 Freestyle,Boys,II,,,,
6,1500 Freestyle,Girls,II,,,,
7,800 Freestyle,Men,Senior,,,,
8,800 Freestyle,Women,Senior,,,,
9,800 Freestyle,Boys,I,,,,
10,800 Freestyle,Girls,I,,,,
11,800 Freestyle,Boys,II,,,,
12,800 Freestyle,Girls,II,,,,
13,200 Freestyle,Boys,III,,,,
14,200 Freestyle,Girls,III,,,,
15,200 Individual Medley (I.M.),Boys,IV,,,,
16,200 Individual Medley (I.M.),Girls,IV,,,,
17,200 Individual Medley (I.M.),Boys,I,,,,
18,200 Individual Medley (I.M.),Girls,I,,,,
19,200 Individual Medley (I.M.),Boys,II,,,,
20,200 Individual Medley (I.M.),Girls,II,,,,
21,200 Individual Medley (I.M.),Boys,III,,,,
22,200 Individual Medley (I.M.),Girls,III,,,,
23,200 Individual Medley (I.M.),Men,Senior,,,,
24,200 Individual Medley (I.M.),Women,Senior,,,,
25,400 Freestyle,Boys,I,,,,
26,400 Freestyle,Girls,I,,,,
27,400 Freestyle,Boys,II,,,,
28,400 Freestyle,Girls,II,,,,
29,400 Freestyle,Boys,III,,,,
30,400 Freestyle,Girls,III,,,,
31,400 Freestyle,Men,Senior,,,,
32,400 Freestyle,Women,Senior,,,,
33,50 Breast Stroke,Boys,I,,,,
34,50 Breast Stroke,Girls,I,,,,
35,50 Breast Stroke,Boys,II,,,,
36,50 Breast Stroke,Girls,II,,,,
37,50 Breast Stroke,Boys,III,,,,
38,50 Breast Stroke,Girls,III,,,,
39,50 Breast Stroke,Boys,IV,,,,
40,50 Breast Stroke,Girls,IV,,,,
41,50 Breast Stroke,Men,Senior,,,,
42,50 Breast Stroke,Women,Senior,,,,
43,50 Freestyle,Boys,I,,,,
44,50 Freestyle,Girls,I,,,,
45,50 Freestyle,Boys,II,,,,
46,50 Freestyle,Girls,II,,,,
47,50 Freestyle,Boys,III,,,,
48,50 Freestyle,Girls,III,,,,
49,50 Freestyle,Boys,IV,,,,
50,50 Freestyle,Girls,IV,,,,
51,50 Freestyle,Men,Senior,,,,
52,50 Freestyle,Women,Senior,,,,
53,200 BackStroke,Boys,I,,,,
54,200 BackStroke,Girls,I,,,,
55,200 BackStroke,Boys,II,,,,
56,200 BackStroke,Girls,II,,,,
57,100 BackStroke,Boys,III,,,,
