S.N,Event Name,Category,Group,Remark
1,400 mt. Free Style,Boys,U-14,Time Trial
2,400 mt. Free Style,Girls,U-14,Time Trial
3,400 mt. Free Style,Boys,U-17,Time Trial
4,400 mt. Free Style,Girls,U-17,Time Trial
5,400 mt. Free Style,Boys,U-19,Time Trial
6,400 mt. Free Style,Girls,U-19,Time Trial
7,200 mt. Back Stroke,Boys,U-14,Time Trial
8,200 mt. Back Stroke,Girls,U-14,Time Trial
9,200 mt. Back Stroke,Boys,U-17,Time Trial
10,200 mt. Back Stroke,Girls,U-17,Time Trial
11,200 mt. Back Stroke,Boys,U-19,Time Trial
12,200 mt. Back Stroke,Girls,U-19,Time Trial
13,100 mt. Butter Fly Stroke,Boys,U-17,-
14,100 mt. Butter Fly Stroke,Girls,U-17,-
15,200 mt. Butter Fly Stroke,Boys,U-14,Time Trial
16,200 mt. Butter Fly Stroke,Girls,U-14,Time Trial
17,200 mt. I.M.,Boys,U-19,Time Trial
18,200 mt. I.M.,Girls,U-19,Time Trial
19,100 mt. Free Style,Boys,U-17,-
20,100 mt. Free Style,Girls,U-17,-
21,100 mt. Butter Fly Stroke,Boys,U-19,-
22,100 mt. Butter Fly Stroke,Girls,U-19,-
23,4x100 mt. Free Style Relay,Boys,U-19,Time Trial
24,4x100 mt. Free Style Relay,Girls,U-19,Time Trial
